Title, Price ,Village,Kaza,Summary,Area,Furnished?,Floor Number,Details,Website
One of the most amazing apartments overlooking the sea!! REF#NT70848,"$72,000 ",Aamchit, Jbeil,Bedroom(s): 2 | Bathroom(s): 2,100 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/one-of-the-most-amazing-apartments-overlooking-the-sea-refnt70848-ID114558695.html
L08698- Deluxe Apartment for Sale in a prime location in Sahel Alma,"$427,000 ",Sahel Alma, Keserouan,Bedroom(s): 4 | Bathroom(s): 6,285 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed",https://olx.com.lb/ad/l08698-deluxe-apartment-for-sale-in-a-prime-location-in-sahel-alma-ID112414622.html
Affordable villas in Mechref-  ????? ?????? ?????? ?? ????,"$515,000 ",Mechref, Chouf,Bedroom(s): 4 | Bathroom(s): 5,225 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed, Private Garden, Private Gym, Private Jacuzzi, Private Pool, Security, Study, Walk-in Closet",https://olx.com.lb/ad/affordable-villas-in-mechref-%D9%81%D9%8A%D9%84%D8%A7%D8%AA-%D8%A8%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-%D9%85%D8%B9%D9%82%D9%88%D9%84%D8%A9-%D9%81%D9%8A-%D9%85%D8%B4%D8%B1%D9%81-ID108744333.html
Luxurious villa project in Chouf,"$920,000 ",Airport, Beirut,Bedroom(s): 5 | Bathroom(s): 6,400 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Maids Room, Pets Allowed, Private Garden, Private Pool, Security, Shared Gym, Shared Pool, Shared Spa, Walk-in Closet",https://olx.com.lb/ad/luxurious-villa-project-in-chouf-ID104724288.html
High-end finishing Villa for sale in Broummana 450 Sqm + 300 Sqm Ter,"$800,000 ",Broummana, Metn,Bedroom(s): 3 | Bathroom(s): 5,450 SQM,Semi-furnished,No Data,"This property contains: Balcony, Covered Parking, Maids Room, Pets Allowed, Private Garden, Storage room",https://olx.com.lb/ad/high-end-finishing-villa-for-sale-in-broummana-450-sqm-300-sqm-ter-ID114907233.html
L08695- Deluxe Apartment with Terrace for Sale in Sahel Alma - Cash,"$382,000 ",Sahel Alma, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,225 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Pets Allowed",https://olx.com.lb/ad/l08695-deluxe-apartment-with-terrace-for-sale-in-sahel-alma-cash-ID112415348.html
dik el mehdi brand new prestigious apartment Ref # 1951,"$300,000 ",Dik El Mehdi, Metn,Bedroom(s): 3 | Bathroom(s): 3,150 SQM,No Data,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking",https://olx.com.lb/ad/dik-el-mehdi-brand-new-prestigious-apartment-ref-1951-ID109371188.html
Private Villas with Sea view in Damour - ?????,"$460,000 ",Damour, Chouf,Bedroom(s): 4 | Bathroom(s): 4,200 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Maids Room, Pets Allowed, Private Garden, Private Gym, Private Jacuzzi, Private Pool, Security, Walk-in Closet",https://olx.com.lb/ad/private-villas-with-sea-view-in-damour-%D8%AF%D8%A7%D9%85%D9%88%D8%B1-ID104724172.html
Brand new apartment open sea view cash payment. Ref# 2495,"$165,000 ",Zouk Mikael, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,165 SQM,No Data,4,"This property contains: Balcony, Covered Parking, Maids Room, Storage room",https://olx.com.lb/ad/brand-new-apartment-open-sea-view-cash-payment-ref-2495-ID114837967.html
Broumana triplex fully decorated open view Ref # 3295,"$195,000 ",Broummana, Metn,Bedroom(s): 4 | Bathroom(s): 4,300 SQM,No Data,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room",https://olx.com.lb/ad/broumana-triplex-fully-decorated-open-view-ref-3295-ID112381755.html
CATCHY 120 Sq. FOR SALE In TILAL AIN SAADE!??? ????? ?? ???? ??? ?????,"$115,000 ",Tilal Ain Saade, Metn,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,No Data,This property contains: Pets Allowed,https://olx.com.lb/ad/catchy-120-sq-for-sale-in-tilal-ain-saade%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AA%D9%84%D8%A7%D9%84-%D8%B9%D9%8A%D9%86-%D8%B3%D8%B9%D8%A7%D8%AF%D8%A9-ID114907222.html
Sheileh ~ 206 sqm + 80sqm Garden,"$150,000 ",Sehayleh, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,206 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/sheileh-206-sqm-80sqm-garden-ID114907206.html
180sqm apartment in jbeil with an unblockable sea view! REF#CK51962,"$130,000 ",Jbeil Town, Jbeil,Bedroom(s): 3 | Bathroom(s): 3,180 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/180sqm-apartment-in-jbeil-with-an-unblockable-sea-view-refck51962-ID114907197.html
345$/sqm! 155sqm apartment for sale in Bchemoun Maderis! REF#HG80346,"$55,000 ",Bchamoun, Aley,Bedroom(s): 3 | Bathroom(s): 2,155 SQM,No Data,No Data,"This property contains: Balcony, Covered Parking",https://olx.com.lb/ad/345sqm-155sqm-apartment-for-sale-in-bchemoun-maderis-refhg80346-ID114907185.html
Achrafieh | For Sale | ???????? ????? | ??? ????? | REF: RGBS6,"$600,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 4,200 SQM,Unfurnished,7,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Maids Room, Storage room",https://olx.com.lb/ad/achrafieh-for-sale-%D8%A7%D9%84%D8%A7%D8%B4%D8%B1%D9%81%D9%8A%D8%A9-%D8%A8%D9%8A%D8%B1%D9%88%D8%AA-%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ref-rgbs6-ID114746569.html
CATCHY 125 Sq. + 100 Sq. TERRACE FOR SALE In DBAYEH!??? ????? ?? ????,"$190,000 ",Dbaye, Metn,Bedroom(s): 2 | Bathroom(s): 2,125 SQM,No Data,No Data,This property contains: Pets Allowed,https://olx.com.lb/ad/catchy-125-sq-100-sq-terrace-for-sale-in-dbayeh%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B6%D8%A8%D9%8A%D8%A9-ID114907184.html
"??? ?????? ????? ?? ???? 265 ??? ???? ? 325,000$","$325,000 ",Khaldeh, Aley,Bedroom(s): 4 | Bathroom(s): 6,265 SQM,No Data,1,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AE%D9%84%D8%AF%D8%A9-265-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D8%A8-325000-ID114907179.html
280sqm apartment in nahr ibrahim for Sale! REF#CK51961,"$100,000 ",Nahr Ibrahim, Jbeil,Bedroom(s): 4 | Bathroom(s): 2,280 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/280sqm-apartment-in-nahr-ibrahim-for-sale-refck51961-ID114907170.html
135 Sqm | Apartment for sale in Hazmieh | Beirut view,"$350,000 ",Hazmiyeh, Baabda,Bedroom(s): 3 | Bathroom(s): 2,135 SQM,Unfurnished,3,This property contains: Balcony,https://olx.com.lb/ad/135-sqm-apartment-for-sale-in-hazmieh-beirut-view-ID114242841.html
240 Sqm | Apartment for sale in Rabweh | Sea view,"$160,000 ",Rabweh, Metn,Bedroom(s): 4 | Bathroom(s): 2,240 SQM,Unfurnished,4,"This property contains: Balcony, Central A/C & heating, Maids Room",https://olx.com.lb/ad/240-sqm-apartment-for-sale-in-rabweh-sea-view-ID114242260.html
300 Sqm | Brand New Duplex | Ajaltoun | Mountain view,"$150,000 ",Ajaltoun, Keserouan,Bedroom(s): 4 | Bathroom(s): 3,300 SQM,Unfurnished,2,"This property contains: Balcony, Covered Parking, Maids Room",https://olx.com.lb/ad/300-sqm-brand-new-duplex-ajaltoun-mountain-view-ID114142025.html
Apartment | Maaysrah | Sea view,"$75,000 ",Maaysrah, Keserouan,Bedroom(s): 2 | Bathroom(s): 2,110 SQM,Unfurnished,No Data,This property contains: Balcony,https://olx.com.lb/ad/apartment-maaysrah-sea-view-ID112609768.html
550 Sqm|Triplex for sale in Sahel Alma| Panoramic Sea and mountain vie,"$925,000 ",Sahel Alma, Keserouan,Bedroom(s): 5 | Bathroom(s): 5,550 SQM,Unfurnished,6,"This property contains: Balcony, Maids Room",https://olx.com.lb/ad/550-sqmtriplex-for-sale-in-sahel-alma-panoramic-sea-and-mountain-vie-ID114361687.html
560 Sqm |Duplex for sale in Sahel Alma| Panoramic Sea and mountain vie,"$450,000 ",Sahel Alma, Keserouan,Bedroom(s): 6 | Bathroom(s): 8,560 SQM,Unfurnished,6,"This property contains: Balcony, Maids Room",https://olx.com.lb/ad/560-sqm-duplex-for-sale-in-sahel-alma-panoramic-sea-and-mountain-vie-ID114361467.html
Distinct High Ceiling Duplex in Ras El Nabeh?????? ????? ?? ??? ?????,"$1,845,000 ",Ras Al Nabaa, Beirut,Bedroom(s): 5 | Bathroom(s): 5,400 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Covered Parking",https://olx.com.lb/ad/distinct-high-ceiling-duplex-in-ras-el-nabeh%D8%AF%D9%88%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%B1%D8%A7%D8%B3-%D8%A7%D9%84%D9%86%D8%A8%D8%B9-ID114735785.html
Panoramic View Apartment Flat in Zalka ??? ????? ?? ??????,"$220,000 ",Zalka, Metn,Bedroom(s): 3 | Bathroom(s): 3,145 SQM,Unfurnished,9,"This property contains: Balcony, Covered Parking, Pets Allowed",https://olx.com.lb/ad/panoramic-view-apartment-flat-in-zalka-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B2%D9%84%D9%82%D8%A7-ID114561692.html
Apartment for sale in dbayeh 120 SQM REF#EA15127,"$140,000 ",Dbaye, Metn,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/apartment-for-sale-in-dbayeh-120-sqm-refea15127-ID114858151.html
Apartment for sale in Darooun Harissa Cash REF #7894538,"$50,000 ",Daraaoun, Keserouan,Bedroom(s): 2 | Bathroom(s): 2,125 SQM,Unfurnished,2,No Data,https://olx.com.lb/ad/apartment-for-sale-in-darooun-harissa-cash-ref-7894538-ID114865744.html
Apartment for sale / ??? ?????? ?????,"$55,000 ",Zebdine, Nabatieh,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,2,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Central A/C & heating, Covered Parking, Private Garden",https://olx.com.lb/ad/apartment-for-sale-%D8%B4%D9%82%D9%82-%D8%A8%D8%A7%D8%B3%D8%B9%D8%A7%D8%B1-%D9%85%D8%BA%D8%B1%D9%8A%D8%A9-ID114893144.html
Ajaltoun 145m2 | gardens availability | new | view | perfect catch |,"$100,000 ",Ajaltoun, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,145 SQM,Unfurnished,2,"This property contains: Balcony, Built in Kitchen Appliances, Covered Parking, Maids Room, Private Garden, Security, Study",https://olx.com.lb/ad/ajaltoun-145m2-gardens-availability-new-view-perfect-catch-ID107637806.html
"Zalka Prime Highend (120Sq) , ??? ????? ?? ??????","$165,000 ",Zalka, Metn,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Pets Allowed, Security, Study, Storage room",https://olx.com.lb/ad/zalka-prime-highend-120sq-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B2%D9%84%D9%82%D8%A7-ID114861542.html
Apartment for sale in jdaideh 125 SQM REF#WT38069,"$125,000 ",Jdaide, Metn,Bedroom(s): 2 | Bathroom(s): 2,125 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/apartment-for-sale-in-jdaideh-125-sqm-refwt38069-ID114861566.html
230 Sqm | Apartment for sale in Zouk Mosbeh | Mountain view,"$125,000 ",Zouk Mosbeh, Keserouan,Bedroom(s): 3 | Bathroom(s): 4,230 SQM,Unfurnished,3,"This property contains: Balcony, Central A/C & heating, Maids Room",https://olx.com.lb/ad/230-sqm-apartment-for-sale-in-zouk-mosbeh-mountain-view-ID114244836.html
ONE OF A KIND Terrace Apartment in Hboub ??? ????? ?? ???? ?? ????,"$168,000 ",Hboub, Jbeil,Bedroom(s): 3 | Bathroom(s): 4,198 SQM,Unfurnished,No Data,"This property contains: Balcony, Central A/C & heating, Covered Parking, Maids Room, Study",https://olx.com.lb/ad/one-of-a-kind-terrace-apartment-in-hboub-%D8%B4%D9%82%D8%A9-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%85%D8%B9-%D8%AA%D8%B1%D8%A7%D8%B3-%D9%81%D9%8A-%D8%AD%D8%A8%D9%88%D8%A8-ID114171475.html
330 Sqm  | Apartment Rabieh | Mountain and Sea view,"$450,000 ",Rabieh, Metn,Bedroom(s): 3 | Bathroom(s): 4,330 SQM,Unfurnished,2,"This property contains: Balcony, Maids Room",https://olx.com.lb/ad/330-sqm-apartment-rabieh-mountain-and-sea-view-ID114027612.html
"Baabda Prime (140Sq) With Terrace, ??? ????? ?? ?????","$140,000 ",Baabda Town, Baabda,Bedroom(s): 2 | Bathroom(s): 2,140 SQM,Unfurnished,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Security, Study, Storage room",https://olx.com.lb/ad/baabda-prime-140sq-with-terrace-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A8%D8%B9%D8%A8%D8%AF%D8%A7-ID114907151.html
500 Sqm + 250 Sqm Roof | Duplex Mar Roukoz | City view,"$400,000 ",Mar Roukoz, Metn,Bedroom(s): 4 | Bathroom(s): 4,500 SQM,Unfurnished,4,This property contains: Balcony,https://olx.com.lb/ad/500-sqm-250-sqm-roof-duplex-mar-roukoz-city-view-ID112743494.html
400 Sqm + Terrace and garden 100 Sqm | Villa Baabdat | Mountain view,"$750,000 ",Baabdat, Metn,Bedroom(s): 3 | Bathroom(s): 5,400 SQM,Unfurnished,No Data,"This property contains: Balcony, Covered Parking, Maids Room, Pets Allowed, Private Garden",https://olx.com.lb/ad/400-sqm-terrace-and-garden-100-sqm-villa-baabdat-mountain-view-ID114141825.html
Luxury Villa - with a breathtaking mountain view.,"$210,000 ",Mechmech, Jbeil,Bedroom(s): 3 | Bathroom(s): 4,382 SQM,No Data,No Data,"This property contains: Balcony, Central A/C & heating, Maids Room, Pets Allowed, Private Garden, Attic/ Loft",https://olx.com.lb/ad/luxury-villa-with-a-breathtaking-mountain-view-ID114617109.html
160 Sqm |Fully decorated apartment for sale in Rayfoun| Mountain view,"$110,000 ",Rayfoun, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,160 SQM,Unfurnished,3,This property contains: Balcony,https://olx.com.lb/ad/160-sqm-fully-decorated-apartment-for-sale-in-rayfoun-mountain-view-ID114462167.html
157Sqm Brand New Furnished Apartment For Sale In Achrafieh,"$360,000 ",Achrafieh, Beirut,Bedroom(s): 2 | Bathroom(s): 3,157 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/157sqm-brand-new-furnished-apartment-for-sale-in-achrafieh-ID114907124.html
500sqm apartment is located in a prime location in Adma! REF1 HW51214,"$370,000 ",Adma w Dafnah, Keserouan,Bedroom(s): 4 | Bathroom(s): 5,500 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/500sqm-apartment-is-located-in-a-prime-location-in-adma-ref1-hw51214-ID114749613.html
Luxurious townhouse in Broummana for sale! REF1 ED80082,"$690,000 ",Broummana, Metn,Bedroom(s): 3 | Bathroom(s): 6,440 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/luxurious-townhouse-in-broummana-for-sale-ref1-ed80082-ID114749554.html
Own this 225sqm new construction in the heart of Achrafieh REF#FY70857,"$300,000 ",Achrafieh, Beirut,Bedroom(s): 3 | Bathroom(s): 2,225 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/own-this-225sqm-new-construction-in-the-heart-of-achrafieh-reffy70857-ID114561011.html
HOT DEAL! 267 SQM Apartment in Dawhet el Hoss for Sale! REF#MA51056,"$140,000 ",Dawhet el Hoss, Aley,Bedroom(s): 3 | Bathroom(s): 3,267 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/hot-deal-267-sqm-apartment-in-dawhet-el-hoss-for-sale-refma51056-ID114458307.html
Luxury Serviced Residence in Fanar !,"$130,000 ",Fanar, Metn,Bedroom(s): 2 | Bathroom(s): 2,125 SQM,No Data,2,"This property contains: Balcony, Built in Kitchen Appliances, Built in Wardrobes, Covered Parking, Pets Allowed, Security",https://olx.com.lb/ad/luxury-serviced-residence-in-fanar-ID112948022.html
180sqm living area + 120sqm terrace in Broumana for sale! REF1 ED80084,"$365,000 ",Broummana, Metn,Bedroom(s): 2 | Bathroom(s): 4,220 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/180sqm-living-area-120sqm-terrace-in-broumana-for-sale-ref1-ed80084-ID114749734.html
160sqm apartment for sale for only 170000$cash!! REF#CE71052,"$170,000 ",Bkinaya, Metn,Bedroom(s): 3 | Bathroom(s): 3,160 SQM,No Data,No Data,"This property contains: Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Maids Room",https://olx.com.lb/ad/160sqm-apartment-for-sale-for-only-170000cash-refce71052-ID114663115.html
Luxury and fully decorated apartment located in Batroun! REF#MF71045,"$103,000 ",Batroun Town, Batroun,Bedroom(s): 3 | Bathroom(s): 3,148 SQM,No Data,No Data,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Storage room",https://olx.com.lb/ad/luxury-and-fully-decorated-apartment-located-in-batroun-refmf71045-ID114662914.html
"2,093$/SQM ! 215 SQM apartment for sale in Bristol ! REF#MD80232","$450,000 ",Hamra, Beirut,Bedroom(s): 3 | Bathroom(s): 3,215 SQM,No Data,No Data,"This property contains: Covered Parking, Maids Room",https://olx.com.lb/ad/2093sqm-215-sqm-apartment-for-sale-in-bristol-refmd80232-ID114834510.html
420 SQM Super Deluxe Duplex Apartment in Sahel Alma! REF#WA51308,"$380,000 ",Sahel Alma, Keserouan,Bedroom(s): 5 | Bathroom(s): 5,420 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/420-sqm-super-deluxe-duplex-apartment-in-sahel-alma-refwa51308-ID114654878.html
Apartment in Batroun with a spacious Terrace !,"$120,000 ",Batroun Town, Batroun,Bedroom(s): 1 | Bathroom(s): 2,110 SQM,Unfurnished,No Data,"This property contains: Balcony, Pets Allowed",https://olx.com.lb/ad/apartment-in-batroun-with-a-spacious-terrace-ID114829806.html
"LUXURIOUS Apartment For Sale in Kfarahbeb, Lebanon.","$240,000 ",Kfar Hbab, Keserouan,Bedroom(s): 3 | Bathroom(s): 3,170 SQM,Unfurnished,1,No Data,https://olx.com.lb/ad/luxurious-apartment-for-sale-in-kfarahbeb-lebanon-ID114775158.html
Brand New Apartment For Sale In Sakiyet Al Janzeer | City View |,"$440,000 ",sakiet al janzeer, Beirut,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,Unfurnished,8,"This property contains: Covered Parking, Storage room",https://olx.com.lb/ad/brand-new-apartment-for-sale-in-sakiyet-al-janzeer-city-view-ID114539341.html
??? ????? ???????? ????? ??? ??? ???? ???? ???? ??????,"$75,000 ",Other in Nabatieh, Nabatieh,Bedroom(s): 2 | Bathroom(s): 2,120 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/%D8%B4%D9%82%D8%A9-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D9%85%D9%88%D8%B1%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%A1%D9%A2%D9%A0-%D9%85%D8%AA%D8%B1-%D8%B7%D8%A7%D8%A8%D9%82-%D8%AE%D8%A7%D9%85%D8%B3-%D9%88%D9%84%D9%8A%D8%B3-%D8%A7%D9%84%D8%A7%D8%AE%D9%8A%D8%B1-ID114907079.html
????? ??? ??? ??????? ????? ????  ?????? ?????? ????? ??? ? ?????,"$42,000 ",Other in Nabatieh, Nabatieh,Bedroom(s): 3 | Bathroom(s): 3,106 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%B4%D9%82%D9%82-%D9%82%D9%8A%D8%AF-%D8%A7%D9%84%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%AD%D8%A8%D9%88%D8%B4-%D9%85%D8%B3%D8%A7%D8%AD%D8%A7%D8%AA-%D9%85%D8%AE%D8%AA%D9%84%D9%81%D8%A9-%D8%AA%D9%82%D8%B3%D9%8A%D8%B7-%D8%B9%D9%84%D9%89-%D9%A5-%D8%B3%D9%86%D9%88%D8%A7%D8%AA-ID114907075.html
Ready to move in  apartment in  hadath baabda  120 sqm. REF#RA70554,"$69,000 ",Hadath, Baabda,Bedroom(s): 2 | Bathroom(s): 1,120 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/ready-to-move-in-apartment-in-hadath-baabda-120-sqm-refra70554-ID114397293.html
RWK100/EK - Furnished Villa for sale in Kfardebian,"$425,000 ",Kfardebian, Keserouan,Bedroom(s): 5 | Bathroom(s): 5,800 SQM,No Data,No Data,No Data,https://olx.com.lb/ad/rwk100ek-furnished-villa-for-sale-in-kfardebian-ID114831551.html
RWK132/EK - Apartment for sale in Faitroun - Unfurnished,"$110,000 ",Faitroun, Keserouan,Bedroom(s): 3 | Bathroom(s): 2,140 SQM,Unfurnished,No Data,No Data,https://olx.com.lb/ad/rwk132ek-apartment-for-sale-in-faitroun-unfurnished-ID114831529.html
Duplex with a view in Nabay for sale,"$155,000 ",Nabay, Metn,Bedroom(s): 3 | Bathroom(s): 3,205 SQM,Unfurnished,1,"This property contains: Balcony, Built in Kitchen Appliances, Central A/C & heating, Covered Parking, Elevator, Fireplace, Attic/ Loft, Storage room",https://olx.com.lb/ad/duplex-with-a-view-in-nabay-for-sale-ID114688742.html
